ONET KSA	Count
metal rulers	1
digital storage oscilloscopes	3
digital audio workstations	4
reamers	52
software distribution software	5
netscape navigator	5
pneumatic drills	2
angle plates	8
quarkxpress	330
website management software	10
power mowers	29
brooms	45
chemistry analyzers	6
tillers	53
financial planning software	18
table saws	10
spud wrenches	1
funnels	16
potentiometers	8
emc documentum	70
grounding equipment	24
altium designer	23
scripting software	11
vacuum ovens	1
desktop underwriter	92
fire resistant clothing	1
vision software	85
dishwashers	745
pipe cleaners	7008
reliability analysis software	1
laminating equipment	3
hand pumps	1
vertical machining centers	34
video servers	15
torque testers	3
phonegap	113
pullers	145
sandblasters	9
frame racks	68
rhythm instruments	1
content servers	3
microsoft business intelligence bi	7
rubber dams	4
shop management software	10
v blocks	8
frequency meters	1
plasma cutters	17
backup servers	4
automatic titrators	1
optical comparators	111
putty knives	6
calculators	382
jig saws	1
punch presses	31
google earth pro	5
nmap	93
vibration analysis equipment	2
nosql software	1
extensible business reporting language xbrl	1
passenger vans	46
originality	192
oxygen equipment	5
navinet software	5
freezers	217
pressure tanks	1
automated paint mixing equipment	1
stamping tools	2
repairing	3735
steel toed boots	244
speech clarity	78
refuse collection trucks	1
pearson powerschool	1
binoculars	1
windsim	1
boring bars	22
fire hoses	25
microsoft power point	306
legal software	24
metal punches	2
spss amos	1
drupal	2771
powered wheelchairs	8
sage mas 200 erp	5
video production software	4
taproot	327
stoves	154
dictation equipment	4
personal computers	2091
drop indicators	7
water treatment equipment	35
laserfiche software	1
reciprocating saws	1
safety belts	31
oracle data guard	33
training software	1146
augmentative communication systems	3
band saws	178
metasploit	69
skiffs	3
dial test indicators	1
code libraries	18
vibration analysis software	16
network file servers	2
equipment maintenance	9513
time card software	1
sit down forklifts	20
ventilation systems	27
bar feeders	5
aerial bucket trucks	1
hand lines	1
lifting hooks	1
hand shears	2
bulldozers	14
depth micrometers	6
case management software	36
microsoft dynamics ax	308
5 axis lathes	1
automation studio	6
python	12227
ear muffs	2
boats	306
sap erp	15355
vise grip pliers	3
avid software	1
mozilla firefox	207
microscopes	124
lamp stack	290
die gauges	1
mass spectrometry equipment	2
autodesk mechanical	1
pressure gauges	36
bed scales	1
flowmeters	7
underwriting software	15
network monitoring software	17
prisms	4
protective clothing	884
hand benders	2
irons	61
cargo trucks	5
win ce	61
graphics processing unit gpu	2
cerner millennium	1781
cyclone	4022
strapping tools	4
melting point apparatus	4
scrub brushes	1
microsoft outlook	7306
adp hr benefits solution	2
oracle universal content management	1
border gateway protocol bgp	4
predator dnc	3
audio mixers	9
concrete saws	2
autodesk revit architecture	5
light boxes	7
sampling pumps	1
flatbed trucks	53
light trucks	119
utility trailers	9
hydraulic power units	21
darwin information typing architecture dita	4
cerner profile	1
automated underwriting software	2
wireless barcode scanners	1
protective sleeves	1
ammeters	22
cushions	147
shuttle buses	6
crimping machines	2
drainage pumps	1
optical analysis software	2
conference phones	3
microstrategy software	1
jquery	17376
systems analysis	1186
polarity testers	1
turret punches	1
credit card processing software	1
pipe beveling machines	2
radial arm saws	1
level transmitters	2
ski lifts	1
medical software	270
refrigerators	164
dspace	71
grinding equipment	20
wire pullers	1
horizontal lathes	34
shuttle cars	5
fids	1
dynamic host configuration protocol dhcp	3
protective gloves	66
sheet fed presses	4
inventory control systems	667
warehouse management software	20
broadcast cameras	1
westlaw	70
ado net	685
fanuc cnc	35
pipelayers	2
autodesk revit	99
management information systems mis software	1
inside micrometers	1
distortion meters	1
protein skimmers	2
electric hoists	12
tie downs	2
pipettes	32
flight simulation software	2
control boards	12
conductivity meters	2
mobile application software	3
spoons	2
solomon software	77
profile projectors	1
mechanical mixers	1
metallographs	2
impact	26186
sony vegas pro	2
critical thinking	10184
laparoscopic equipment	1
edexpress	2
circuit breakers	136
fixed blade knives	1
platform trucks	67
groovy	950
backboards	1
ipro software	2
kronos workforce timekeeper	3
hoyer lifts	1
sales and marketing	11
gas turbine engines	26
sap netweaver	28
quest foglight	4
optical pyrometers	10
microphones	100
pulse oximeters	1
sheet extruders	6
customer database software	4
sump pumps	9
citrix xenapp	220
scheduling databases	4
data visualization software	11
bowtie	7
vmware software	8
trane trace	24
radiometers	1
gantry cranes	1
spot welders	3
antivirus software	316
atlassian bamboo	5
ranges	11178
drainage tubes	3
burner management systems	19
lapack	1
negotiation	97810
computerized sewing machines	2
purchasing software	156
twin screw extruders	2
alarm systems	704
positive displacement pumps	16
vacuum pumps	67
woks	14
jointers	1
